year,month,day,hour,pm25_hourly
2013,1,5,11,9.3857142857
2013,1,5,13,8.2133333333
2013,1,5,14,9.0716666667
2013,1,5,15,8.8983333333
2013,1,5,16,9.7783333333
2013,1,5,17,10.121666667
2013,1,5,18,13.573333333
2013,1,5,19,10.98
2013,1,5,20,10.755
2013,1,5,21,12.526666667
2013,1,5,22,14.975
2013,1,5,23,14.895
2013,1,5,24,7.105
2013,1,6,1,16.705
2013,1,6,2,14.578333333
2013,1,6,3,10.866666667
2013,1,6,4,10.235
2013,1,6,5,10.325
2013,1,6,6,10.28
2013,1,6,7,7.7
2013,1,6,8,6.2116666667
2013,1,6,9,6.9433333333
2013,1,6,10,7.7533333333
2013,1,6,11,7.29
2013,1,6,12,15.738333333
2013,1,6,13,3.3983333333
2013,1,6,14,3.505
2013,1,6,15,4.2
2013,1,6,16,4.7933333333
2013,1,6,17,6.065
2013,1,6,18,7.8933333333
2013,1,6,19,9.495
2013,1,6,20,11.703333333
2013,1,6,21,13.641666667
2013,1,6,22,14.433333333
2013,1,6,23,14.45
2013,1,6,24,4.5816666667
2013,1,7,1,13.53
2013,1,7,2,12.111666667
2013,1,7,3,11.028333333
2013,1,7,4,10.711666667
2013,1,7,5,11.731666667
2013,1,7,6,13.17
2013,1,7,7,15.085
2013,1,7,8,17.12
2013,1,7,9,16.776666667
2013,1,7,10,13.575
2013,1,7,11,7.39
2013,1,7,12,13.37
2013,1,7,13,5.7666666667
2013,1,7,14,6.1416666667
2013,1,7,15,5.8
2013,1,7,16,5.7
2013,1,7,17,6.0233333333
2013,1,7,18,6.8683333333
2013,1,7,19,8.0466666667
2013,1,7,20,8.885
2013,1,7,21,9.9733333333
2013,1,7,22,10.676666667
2013,1,7,23,11.123333333
2013,1,7,24,6.1366666667
2013,1,8,1,13.358333333
2013,1,8,2,13.52
2013,1,8,3,13.286666667
2013,1,8,4,13.071666667
2013,1,8,5,11.791666667
2013,1,8,6,10.996666667
2013,1,8,7,12.156666667
2013,1,8,8,13.186666667
2013,1,8,9,13.511666667
2013,1,8,10,12.956666667
2013,1,8,11,11.631666667
2013,1,8,12,12.066666667
2013,1,8,13,13.666666667
2013,1,8,14,13.765
2013,1,8,15,13.8
2013,1,8,16,14.86
2013,1,8,17,16.081666667
2013,1,8,18,18.92
